bank_transaction_id,bank_transaction_description,bank_transaction_amount,bank_transaction_type
21786195,citylink,-13.8,MPO
21786196,citylink,-13.14,DEB
21786197,1Jul19 OYSTER,-36.98,DEB
21786198,travelodge,-75.73,MPO
21786199,6Jul19 RINGGO,-37.86,CSH
21786200,SUNDRY DEBIT CONTACTLESS CAMDEN PARKING,-34.79,DEB
21786201,stgcoach,-7.26,DEB
21786202,trainline,-26.71,DEB
21786203,Fin: CMT UK LTD  Cash at Transact,-36.25,CSH
21786204,OYSTER,-21.8,DEB
21786205,travelodge CONTACTLESS ON 2019-8-25,-46.06,DEB
21786206,Fin: 5Aug19 tfl.gov,-28.7,MPO
21786207,11Aug19  STAGECOACH,-40.91,CSH
21786208,SUNDRY DEBIT   halfords,-20.53,DEB
21786209,28Jul19 tfl.gov,-21.59,DEB
21786210,Fin: TRANSPORT FOR LONDON 14Aug19,-24.72,DEB
21786211,SUNDRY DEBIT  CARD PAYMENT GREAT WESTERN RAILWAY,-21.05,DEB
21786212,Sundry debit: CONTACTLESS EASYJET,-43.6,DEB
21786213,STAGECOACH,-36.17,CSH
21786214,Apple Pay great western railway ON 2019-7-10,-15.82,MPO
21786215,TAXI,-61.84,DEB
21786216,CONTACTLESS TRANSPORT FOR LONDON,-32.83,DEB
21786217,CARD PAYMENT british airways,-38.42,DEB
21786218,SUNDRY DEBIT VIA MOBILE  ringgo mobile parking,-37.99,MPO
21786219,SUNDRY DEBIT  travelodge,-21.82,CSH
21786220,TFL CYCLE,-12.73,DEB
21786221,lne railway  Cash at Transact,-61.01,CSH
21786222,ON 2019-7-3 lne railway CARD PAYMENT,-21.92,DEB
21786223,Sundry debit:  eurostar,-32.46,CSH
21786224,easyjet,-28.94,CSH
21786225,CONTACTLESS ON 12 Jul FUEL SERVICE STATION,-20.9,DEB
21786226,CARD PAYMENT  LNER,-12.31,DEB
21786227,gwr,-3.47,CSH
21786228,ON 2019-8-28 CONTACTLESS LNE RAILWAY,-35.77,DEB
21786229,SUNDRY DEBIT ON 24 Aug  TRAVELODGE,-31.63,MPO
21786230,CARD PAYMENT ON 2019-8-21 OYSTER,-25.15,DEB
21786231,Sundry debit: 12Jul19 cross country,-39.34,MPO
21786232,Sundry debit: LOTHIAN BUSES  ON 2 Aug,-35.06,CSH
21786233,Fin: 16Jul19  TRAVELODGE,-17.74,DEB
21786234,CARD PAYMENT HALFORDS ON 2019-7-27,-10.11,DEB
21786235,CITYLINK  ON 18 Aug,-7.04,CSH
21786236,stgcoach  VIA MOBILE,-42.05,MPO
21786237,OYSTER  CARD PAYMENT,-12.57,DEB
21786238,VIA MOBILE 2Jul19 KLM,-25.18,MPO
21786239,lothian buses CARD PAYMENT ON 2019-7-14,-47.67,DEB
21786240,Fin: cross country ON 2019-8-23 CARD PAYMENT,-62.71,DEB
21786241,ON 2019-7-14 UBER,-3.18,DEB
21786242,easyjet ON 13 Aug,-33.86,DEB
21786243,virgin trains ON 1 Jul,-61.73,DEB
21786244,21Jul19 CARD PAYMENT TFL TRAVEL,-24.37,DEB
21786245,TFL.GOV,-3.52,CSH
21786246,Fin:   ringgo,-34.9,DEB
21786247,FUEL SERVICE STATION 30Aug19,-39.31,DEB
21786248,SUNDRY DEBIT CONTACTLESS TAXI ON 19 Jul,-53.17,DEB
21786249,TFL TRAVEL ON 23 Aug Cash at Transact,-34.28,CSH
21786250,TAXI,-50.96,DEB
21786251,virgin trains,-54.97,DEB
21786252,Sundry debit:  CARD PAYMENT taxi,-45.9,DEB
21786253,fuel service station VIA MOBILE,-29.13,MPO
21786254,CONTACTLESS TFL TRAVEL,-69.96,DEB
21786255,CONTACTLESS oyster,-42.92,DEB
21786256,Fin: CARD PAYMENT 17Aug19 TFL CYCLE,-63.52,DEB
21786257,Fin: europcar,-39.11,DEB
21786258,amznmktplace  ON 2019-8-18,-8.81,DEB
21786259,CARD PAYMENT tesco garage petrol ON 2019-8-3,-41.0,DEB
21786260,Sundry debit:  VIA MOBILE ONLINE CITYMAPPER,-44.74,MPO
21786261,CARD PAYMENT  RYANAIR,-3.45,DEB
21786262,TFW RAIL SERVICES  ON 2019-8-29,-16.34,CSH
21786263,TRAINLINE,-4.63,DEB
21786264,premier inn,-19.5,DEB
21786265,ON 20 Aug LOTHIAN BUSES,-55.83,DEB
21786266,TFL TRAVEL,-17.01,CSH
21786267,VIA MOBILE  AMZNMKTPLACE,-13.42,MPO
21786268,Cash at Transact premier inn,-52.15,CSH
21786269,GWR,-18.29,DEB
21786270,SUNDRY DEBIT tfl travel  CARD PAYMENT,-53.31,DEB
21786271,transport for london ON 2019-7-24 CONTACTLESS,-2.11,DEB
21786272,Apple Pay SCOTRAIL,-18.8,MPO
21786273,5Jul19 amznmktplace,-39.46,CSH
21786274,Sundry debit:  TRAVELODGE,-46.54,MPO
21786275,VIRGIN TRAINS  Cash at Transact,-15.67,CSH
21786276,Fin:  WHETHERSPOONS,-22.54,CSH
21786277,Fin: VIA MOBILE TFL.GOV,-51.05,MPO
21786278,transport for london 23Jul19 CONTACTLESS,-14.51,DEB
21786279,SUNDRY DEBIT ON 2019-8-9  smart parking chelsea london,-37.14,DEB
21786280,SUNDRY DEBIT  TRAVELODGE,-39.07,MPO
21786281,citylink  ON 2019-7-20,-5.82,MPO
21786282,Sundry debit:  lner ON 2019-7-12,-48.14,CSH
21786283,TRAINLINE VIA MOBILE,-38.68,MPO
21786284,tfl.gov CONTACTLESS,-34.74,DEB
21786285,Fin:  29Aug19 citylink,-56.03,CSH
21786286,tfl road ON 2019-8-21,-67.63,CSH
21786287,Sundry debit: southeastern,-16.4,DEB
21786288,VIA MOBILE tfl travel,-4.77,MPO
21786289,CARD PAYMENT 22Jul19 fuel service station,-70.94,DEB
21786290,Apple Pay tfl cycle,-39.91,MPO
21786291,TRANSPORT FOR LONDON CARD PAYMENT,-21.66,DEB
21786292,TFL.GOV CONTACTLESS ON 31 Jul,-24.21,DEB
21786293,CARD PAYMENT ON 26 Aug transport for london,-23.59,DEB
21786294,ON 1 Jul WHETHERSPOONS,-59.39,DEB
21786295,tfl travel  CONTACTLESS,-37.36,DEB
21786296,zipcar,-47.43,CSH
21786297,RYANAIR,-43.2,CSH
21786298,5Jul19 TFL.GOV,-23.72,CSH
21786299,Sundry debit: indigo  CONTACTLESS,-28.44,DEB
21786300,ON 14 Aug CONTACTLESS ENTERPRISE RENT A,-10.68,DEB
21786301,TRAVELODGE 10Aug19,-28.93,DEB
21786302,Fin: lul ticket,-35.29,DEB
21786303,swtrains ON 30 Jul,-15.0,DEB
21786304,ON 2019-8-25 virgin trains,-28.55,MPO
21786305,13Jul19 travelodge,-42.21,DEB
21786306,11Aug19 tesco garage petrol,-49.42,DEB
21786307,ON 13 Aug lothian buses,-14.12,CSH
21786308,Fin: CONTACTLESS ON 2019-8-26 CTYLINK,-56.59,DEB
21786309,31Aug19 CARD PAYMENT VIRGIN TRAINS,-58.21,DEB
21786310,Fin: travelodge ON 16 Aug,-22.69,DEB
21786311,ford ON 2019-7-22,-18.71,CSH
21786312,SUNDRY DEBIT   amznmktplace,-16.8,CSH
21786313,Fin: gatwick express,-24.32,DEB
21786314,JURYS INN,-55.03,DEB
21786315,WEST COAST ON 2019-8-30,-45.93,DEB
21786316,Apple Pay  uber,-23.85,MPO
21786317,SOUTHERN RAILW ON 7 Aug,-18.76,CSH
21786318,citylink,-44.98,DEB
21786319,TRANSPORT FOR LONDON,-29.62,DEB
21786320,Fin:  EASYJET,-19.88,DEB
21786321,JURYS INN  10Jul19,-47.24,CSH
21786322,Sundry debit: CARD PAYMENT TRAVELODGE ON 6 Aug,-12.79,DEB
21786323,"DIAMOND VALETING, TYRES & SERVICE 14Aug19",-23.14,MPO
21786324,SUNDRY DEBIT   TRANSPORT FOR LONDON,-17.32,DEB
