bank_transaction_id,bank_transaction_category,bank_transaction_dataset
21786195,TRAVEL,TRAIN
21786196,TRAVEL,TRAIN
21786197,TRAVEL,TRAIN
21786198,TRAVEL,TRAIN
21786199,TRAVEL,TRAIN
21786200,TRAVEL,TRAIN
21786201,TRAVEL,TRAIN
21786202,TRAVEL,TRAIN
21786203,TRAVEL,TRAIN
21786204,TRAVEL,TRAIN
21786205,TRAVEL,TRAIN
21786206,TRAVEL,TRAIN
21786207,TRAVEL,TRAIN
21786208,TRAVEL,TRAIN
21786209,TRAVEL,TRAIN
21786210,TRAVEL,TRAIN
21786211,TRAVEL,TRAIN
21786212,TRAVEL,TRAIN
21786213,TRAVEL,TRAIN
21786214,TRAVEL,TRAIN
21786215,TRAVEL,TRAIN
21786216,TRAVEL,TRAIN
21786217,TRAVEL,TRAIN
21786218,TRAVEL,TRAIN
21786219,TRAVEL,TRAIN
21786220,TRAVEL,TRAIN
21786221,TRAVEL,TRAIN
21786222,TRAVEL,TRAIN
21786223,TRAVEL,TRAIN
21786224,TRAVEL,TRAIN
21786225,TRAVEL,TRAIN
21786226,TRAVEL,TRAIN
21786227,TRAVEL,TRAIN
21786228,TRAVEL,TRAIN
21786229,TRAVEL,TRAIN
21786230,TRAVEL,TRAIN
21786231,TRAVEL,TRAIN
21786232,TRAVEL,TRAIN
21786233,TRAVEL,TRAIN
21786234,TRAVEL,TRAIN
21786235,TRAVEL,TRAIN
21786236,TRAVEL,TRAIN
21786237,TRAVEL,TRAIN
21786238,TRAVEL,TRAIN
21786239,TRAVEL,TRAIN
21786240,TRAVEL,TRAIN
21786241,TRAVEL,TRAIN
21786242,TRAVEL,TRAIN
21786243,TRAVEL,TRAIN
21786244,TRAVEL,TRAIN
21786245,TRAVEL,TRAIN
21786246,TRAVEL,TRAIN
21786247,TRAVEL,TRAIN
21786248,TRAVEL,TRAIN
21786249,TRAVEL,TRAIN
21786250,TRAVEL,TRAIN
21786251,TRAVEL,TRAIN
21786252,TRAVEL,TRAIN
21786253,TRAVEL,TRAIN
21786254,TRAVEL,TRAIN
21786255,TRAVEL,TRAIN
21786256,TRAVEL,TRAIN
21786257,TRAVEL,TRAIN
21786258,TRAVEL,TRAIN
21786259,TRAVEL,TRAIN
21786260,TRAVEL,TRAIN
21786261,TRAVEL,TRAIN
21786262,TRAVEL,TRAIN
21786263,TRAVEL,TRAIN
21786264,TRAVEL,TRAIN
21786265,TRAVEL,TRAIN
21786266,TRAVEL,TRAIN
21786267,TRAVEL,TRAIN
21786268,TRAVEL,TRAIN
21786269,TRAVEL,TRAIN
21786270,TRAVEL,TRAIN
21786271,TRAVEL,TRAIN
21786272,TRAVEL,TRAIN
21786273,TRAVEL,TRAIN
21786274,TRAVEL,TRAIN
21786275,TRAVEL,TRAIN
21786276,TRAVEL,TRAIN
21786277,TRAVEL,TRAIN
21786278,TRAVEL,TRAIN
21786279,TRAVEL,TRAIN
21786280,TRAVEL,TRAIN
21786281,TRAVEL,TRAIN
21786282,TRAVEL,TRAIN
21786283,TRAVEL,TRAIN
21786284,TRAVEL,TRAIN
21786285,TRAVEL,TRAIN
21786286,TRAVEL,TRAIN
21786287,TRAVEL,TRAIN
21786288,TRAVEL,TRAIN
21786289,TRAVEL,TRAIN
21786290,TRAVEL,TRAIN
21786291,TRAVEL,TRAIN
21786292,TRAVEL,TRAIN
21786293,TRAVEL,TRAIN
21786294,TRAVEL,TRAIN
21786295,TRAVEL,TRAIN
21786296,TRAVEL,TRAIN
21786297,TRAVEL,TRAIN
21786298,TRAVEL,TRAIN
21786299,TRAVEL,TRAIN
21786300,TRAVEL,TRAIN
21786301,TRAVEL,TRAIN
21786302,TRAVEL,TRAIN
21786303,TRAVEL,TRAIN
21786304,TRAVEL,TRAIN
21786305,TRAVEL,TRAIN
21786306,TRAVEL,TRAIN
21786307,TRAVEL,TRAIN
21786308,TRAVEL,TRAIN
21786309,TRAVEL,TRAIN
21786310,TRAVEL,TRAIN
21786311,TRAVEL,TRAIN
21786312,TRAVEL,TRAIN
21786313,TRAVEL,TRAIN
21786314,TRAVEL,TRAIN
21786315,TRAVEL,TRAIN
21786316,TRAVEL,TRAIN
21786317,TRAVEL,TRAIN
21786318,TRAVEL,TRAIN
21786319,TRAVEL,TRAIN
21786320,TRAVEL,TRAIN
21786321,TRAVEL,TRAIN
21786322,TRAVEL,TRAIN
21786323,TRAVEL,TRAIN
21786324,TRAVEL,TRAIN
21786325,TRAVEL,TRAIN
21786326,TRAVEL,TRAIN
21786327,TRAVEL,TRAIN
21786328,TRAVEL,TRAIN
21786329,TRAVEL,TRAIN
21786330,TRAVEL,TRAIN
21786331,TRAVEL,TRAIN
21786332,TRAVEL,TRAIN
21786333,TRAVEL,TRAIN
21786334,TRAVEL,TRAIN
21786335,TRAVEL,TRAIN
21786336,TRAVEL,TRAIN
21786337,TRAVEL,TRAIN
21786338,TRAVEL,TRAIN
21786339,TRAVEL,TRAIN
